id,MoE-Inner-Warp,MoE-Inner-Weft,SM-Inner,MoE-Outer-Warp,MoE-Outer-Weft,SM-Outer,Friction Coefficient,Axial Load,Pre-strain,sample,Bunching (mm),image-front,image-s1,image-s2
81,100,340,3.128,90,70,1.79,0.2,3.00E-05,Outside jacket 0.5%,sample-1080,0.795875012,sample-1080_FrontView.jpg,sample-1080_SideView_1.jpg,sample-1080_SideView_2.jpg
82,100,340,3.128,90,70,1.79,0.2,6.60E-05,Inside jacket 1.6%,sample-1081,19.31423136,sample-1081_FrontView.jpg,sample-1081_SideView_1.jpg,sample-1081_SideView_2.jpg
83,100,340,3.128,90,70,1.79,0.2,6.60E-05,Inside jacket 0.44%,sample-1082,0.665480541,sample-1082_FrontView.jpg,sample-1082_SideView_1.jpg,sample-1082_SideView_2.jpg
84,100,340,3.128,90,70,1.79,0.2,6.60E-05,Outside jacket 0.5%,sample-1083,1.308448313,sample-1083_FrontView.jpg,sample-1083_SideView_1.jpg,sample-1083_SideView_2.jpg
85,100,340,3.88,150,103,0.484,0.14,3.00E-05,Inside jacket 1.6%,sample-1084,15.86312755,sample-1084_FrontView.jpg,sample-1084_SideView_1.jpg,sample-1084_SideView_2.jpg
86,100,340,3.88,150,103,0.484,0.14,3.00E-05,Inside jacket 0.44%,sample-1085,0.559250247,sample-1085_FrontView.jpg,sample-1085_SideView_1.jpg,sample-1085_SideView_2.jpg
87,100,340,3.88,150,103,0.484,0.14,3.00E-05,Outside jacket 0.5%,sample-1086,0.685829114,sample-1086_FrontView.jpg,sample-1086_SideView_1.jpg,sample-1086_SideView_2.jpg
88,100,340,3.88,150,103,0.484,0.14,6.60E-05,Inside jacket 1.6%,sample-1087,10.39473158,sample-1087_FrontView.jpg,sample-1087_SideView_1.jpg,sample-1087_SideView_2.jpg
89,100,340,3.88,150,103,0.484,0.14,6.60E-05,Inside jacket 0.44%,sample-1088,0.518503563,sample-1088_FrontView.jpg,sample-1088_SideView_1.jpg,sample-1088_SideView_2.jpg
90,100,340,3.88,150,103,0.484,0.14,6.60E-05,Outside jacket 0.5%,sample-1089,0.772212263,sample-1089_FrontView.jpg,sample-1089_SideView_1.jpg,sample-1089_SideView_2.jpg
91,100,340,3.88,150,103,0.484,0.2,3.00E-05,Inside jacket 1.6%,sample-1090,13.75922411,sample-1090_FrontView.jpg,sample-1090_SideView_1.jpg,sample-1090_SideView_2.jpg
92,100,340,3.88,150,103,0.484,0.2,3.00E-05,Inside jacket 0.44%,sample-1091,0.644823863,sample-1091_FrontView.jpg,sample-1091_SideView_1.jpg,sample-1091_SideView_2.jpg
93,100,340,3.88,150,103,0.484,0.2,3.00E-05,Outside jacket 0.5%,sample-1092,0.595338424,sample-1092_FrontView.jpg,sample-1092_SideView_1.jpg,sample-1092_SideView_2.jpg
